#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
1 2 1 4 18.0 78.0 25.0 76.0
1 2 1 5 25.0 106.0 46.0 100.0
1 2 1 6 34.0 140.0 63.0 137.0
1 2 1 7 41.0 175.0 86.0 170.0
1 2 1 8 52.0 213.0 108.0 205.0
1 2 1 9 63.0 253.0 133.0 248.0
1 2 1 10 78.0 294.0 162.0 291.0
1 2 1 11 91.0 340.0 204.0 340.0
1 2 1 12 105.0 389.0 246.0 383.0
1 2 1 13 122.0 439.0 292.0 428.0
1 2 1 14 143.0 490.0 340.0 479.0
1 2 1 15 164.0 540.0 396.0 533.0
1 2 1 16 187.0 593.0 444.0 583.0
1 2 1 17 216.0 650.0 499.0 635.0
1 2 1 18 251.0 710.0 548.0 694.0
1 2 1 19 282.0 770.0 -1  -1 
1 2 1 20 317.0 831.0 -1  -1 
1 2 1 21 344.0 896.0 -1  -1 
1 2 1 22 381.0 955.0 -1  -1 
1 2 1 23 418.0 1016.0 -1  -1 
1 2 1 24 446.0 1076.0 -1  -1 
1 2 1 25 481.0 1140.0 -1  -1 
1 2 1 26 521.0 1203.0 -1  -1 
1 2 1 27 543.0 1258.0 -1  -1 
1 2 1 28 580.0 1310.0 -1  -1 
1 2 1 29 611.0 1372.0 -1  -1 
1 2 1 30 653.0 1439.0 -1  -1 
1 2 1 31 697.0 1499.0 -1  -1 
1 2 1 32 743.0 1583.0 -1  -1 
1 2 1 33 796.0 1625.0 -1  -1 
1 2 1 34 838.0 1694.0 -1  -1 
1 2 1 35 948.0 1730.0 -1  -1 
1 2 1 36 972.0 1420.0 -1  -1 
1 2 2 2 7.0 46.0 -1  -1 
1 2 2 3 11.0 74.0 21.0 66.0
1 2 2 4 19.0 100.0 22.0 86.0
1 2 2 5 25.0 119.0 52.0 119.0
1 2 2 6 34.0 164.0 69.0 164.0
1 2 2 7 43.0 195.0 96.0 195.0
1 2 2 8 54.0 236.0 122.0 236.0
1 2 2 9 66.0 284.0 158.0 284.0
1 2 2 10 80.0 336.0 194.0 329.0
1 2 2 11 94.0 374.0 242.0 374.0
1 2 2 12 108.0 434.0 283.0 423.0
1 2 2 13 123.0 484.0 322.0 474.0
1 2 2 14 144.0 535.0 365.0 531.0
1 2 2 15 163.0 595.0 408.0 588.0
1 2 2 16 186.0 652.0 458.0 647.0
1 2 2 17 205.0 716.0 520.0 704.0
1 2 2 18 241.0 765.0 584.0 764.0
1 2 2 19 290.0 835.0 -1  -1 
1 2 2 20 336.0 901.0 -1  -1 
1 2 2 21 374.0 964.0 -1  -1 
1 2 2 22 416.0 1027.0 -1  -1 
1 2 2 23 448.0 1100.0 -1  -1 
1 2 2 24 485.0 1172.0 -1  -1 
1 2 2 25 519.0 1247.0 -1  -1 
1 2 2 26 564.0 1318.0 -1  -1 
1 2 2 27 616.0 1377.0 -1  -1 
1 2 2 28 655.0 1435.0 -1  -1 
1 2 2 29 691.0 1521.0 -1  -1 
1 2 2 30 737.0 1587.0 -1  -1 
1 2 2 31 783.0 1656.0 -1  -1 
1 2 2 32 836.0 1725.0 -1  -1 
1 2 2 33 870.0 1787.0 -1  -1 
1 2 2 34 916.0 1862.0 -1  -1 
1 2 2 35 972.0 1926.0 -1  -1 
1 2 2 36 1021.0 1986.0 -1  -1 
1 3 3 2 6.0 47.0 -1  -1 
1 3 3 3 13.0 68.0 20.0 58.0
1 3 3 4 19.0 89.0 23.0 89.0
1 3 3 5 30.0 128.0 47.0 124.0
1 3 3 6 39.0 162.0 66.0 162.0
1 3 3 7 48.0 201.0 87.0 201.0
1 3 3 8 62.0 251.0 119.0 248.0
1 3 3 9 75.0 297.0 149.0 295.0
1 3 3 10 89.0 348.0 186.0 343.0
1 3 3 11 106.0 391.0 230.0 391.0
1 3 3 12 122.0 444.0 271.0 444.0
1 3 3 13 145.0 500.0 326.0 500.0
1 3 3 14 167.0 552.0 374.0 552.0
1 3 3 15 190.0 616.0 425.0 616.0
1 3 3 16 213.0 674.0 478.0 674.0
1 3 3 17 241.0 734.0 -1  -1 
1 3 3 18 269.0 802.0 -1  -1 
1 3 3 19 301.0 872.0 -1  -1 
1 3 3 20 330.0 933.0 -1  -1 
1 3 3 21 373.0 1004.0 -1  -1 
1 3 3 22 407.0 1070.0 -1  -1 
1 3 3 23 451.0 1148.0 -1  -1 
1 3 3 24 487.0 1210.0 -1  -1 
1 3 3 25 534.0 1288.0 -1  -1 
1 3 3 26 563.0 1358.0 -1  -1 
1 3 3 27 609.0 1432.0 -1  -1 
1 3 3 28 647.0 1512.0 -1  -1 
1 3 3 29 678.0 1576.0 -1  -1 
1 3 3 30 729.0 1641.0 -1  -1 
1 3 3 31 765.0 1715.0 -1  -1 
1 3 3 32 812.0 1794.0 -1  -1 
1 3 3 33 854.0 1865.0 -1  -1 
1 3 3 34 909.0 1942.0 -1  -1 
1 3 3 35 951.0 1999.0 -1  -1 
1 3 3 36 1002.0 1879.0 -1  -1 
1 3 3 37 1042.0 1529.0 -1  -1 
1 3 4 2 6.0 44.0 -1  -1 
1 3 4 3 12.0 66.0 20.0 55.0
1 3 4 4 19.0 91.0 24.0 84.0
1 3 4 5 27.0 127.0 52.0 117.0
1 3 4 6 35.0 152.0 70.0 152.0
1 3 4 7 42.0 193.0 96.0 193.0
1 3 4 8 56.0 234.0 117.0 232.0
1 3 4 9 66.0 279.0 146.0 279.0
1 3 4 10 83.0 323.0 182.0 323.0
1 3 4 11 96.0 367.0 227.0 367.0
1 3 4 12 107.0 413.0 264.0 413.0
1 3 4 13 127.0 467.0 302.0 467.0
1 3 4 14 154.0 522.0 352.0 522.0
1 3 4 15 174.0 581.0 392.0 572.0
1 3 4 16 196.0 635.0 434.0 635.0
1 3 4 17 233.0 696.0 484.0 687.0
1 3 4 18 265.0 757.0 535.0 751.0
1 3 4 19 284.0 808.0 587.0 808.0
1 3 4 20 314.0 882.0 -1  -1 
1 3 4 21 336.0 943.0 -1  -1 
1 3 4 22 372.0 1009.0 -1  -1 
1 3 4 23 414.0 1077.0 -1  -1 
1 3 4 24 447.0 1140.0 -1  -1 
1 3 4 25 487.0 1240.0 -1  -1 
1 3 4 26 526.0 1291.0 -1  -1 
1 3 4 27 568.0 1337.0 -1  -1 
1 3 4 28 609.0 1401.0 -1  -1 
1 3 4 29 644.0 1484.0 -1  -1 
1 3 4 30 678.0 1542.0 -1  -1 
1 3 4 31 718.0 1608.0 -1  -1 
1 3 4 32 756.0 1683.0 -1  -1 
1 3 4 33 792.0 1739.0 -1  -1 
1 3 4 34 829.0 1799.0 -1  -1 
1 3 4 35 897.0 1872.0 -1  -1 
1 3 4 36 925.0 1750.0 -1  -1 
1 4 3 2 7.0 46.0 -1  -1 
1 4 3 3 12.0 71.0 19.0 57.0
1 4 3 4 18.0 89.0 22.0 89.0
1 4 3 5 27.0 128.0 46.0 118.0
1 4 3 6 36.0 162.0 62.0 153.0
1 4 3 7 45.0 200.0 81.0 197.0
1 4 3 8 58.0 235.0 110.0 235.0
1 4 3 9 71.0 279.0 139.0 279.0
1 4 3 10 83.0 329.0 169.0 329.0
1 4 3 11 99.0 374.0 213.0 371.0
1 4 3 12 119.0 417.0 258.0 417.0
1 4 3 13 135.0 474.0 309.0 470.0
1 4 3 14 159.0 528.0 348.0 523.0
1 4 3 15 178.0 582.0 405.0 582.0
1 4 3 16 198.0 646.0 455.0 646.0
1 4 3 17 220.0 703.0 -1  -1 
1 4 3 18 256.0 760.0 -1  -1 
1 4 3 19 280.0 829.0 -1  -1 
1 4 3 20 323.0 893.0 -1  -1 
1 4 3 21 349.0 958.0 -1  -1 
1 4 3 22 394.0 1022.0 -1  -1 
1 4 3 23 425.0 1086.0 -1  -1 
1 4 3 24 459.0 1150.0 -1  -1 
1 4 3 25 500.0 1212.0 -1  -1 
1 4 3 26 539.0 1286.0 -1  -1 
1 4 3 27 574.0 1360.0 -1  -1 
1 4 3 28 622.0 1429.0 -1  -1 
1 4 3 29 643.0 1497.0 -1  -1 
1 4 3 30 680.0 1572.0 -1  -1 
1 4 3 31 732.0 1640.0 -1  -1 
1 4 3 32 818.0 1702.0 -1  -1 
1 4 3 33 840.0 1773.0 -1  -1 
1 4 3 34 853.0 1805.0 -1  -1 
1 4 3 35 903.0 920.0 -1  -1 
1 4 3 36 1178.0 1195.0 -1  -1 
2 1 2 2 7.0 22.0 -1  -1 
2 1 2 3 12.0 74.0 -1  -1 
2 1 2 4 17.0 102.0 17.0 89.0
2 1 2 5 23.0 119.0 50.0 119.0
2 1 2 6 30.0 137.0 68.0 133.0
2 1 2 7 38.0 177.0 88.0 171.0
2 1 2 8 49.0 223.0 111.0 210.0
2 1 2 9 60.0 254.0 148.0 252.0
2 1 2 10 74.0 295.0 183.0 292.0
2 1 2 11 89.0 339.0 220.0 339.0
2 1 2 12 104.0 392.0 255.0 386.0
2 1 2 13 124.0 453.0 299.0 432.0
2 1 2 14 142.0 495.0 342.0 486.0
2 1 2 15 165.0 545.0 393.0 537.0
2 1 2 16 185.0 601.0 450.0 594.0
2 1 2 17 206.0 658.0 -1  -1 
2 1 2 18 226.0 736.0 -1  -1 
2 1 2 19 248.0 775.0 -1  -1 
2 1 2 20 280.0 840.0 -1  -1 
2 1 2 21 329.0 903.0 -1  -1 
2 1 2 22 357.0 968.0 -1  -1 
2 1 2 23 399.0 1034.0 -1  -1 
2 1 2 24 433.0 1090.0 -1  -1 
2 1 2 25 462.0 1148.0 -1  -1 
2 1 2 26 490.0 1217.0 -1  -1 
2 1 2 27 518.0 1277.0 -1  -1 
2 1 2 28 552.0 1334.0 -1  -1 
2 1 2 29 573.0 1407.0 -1  -1 
2 1 2 30 612.0 1467.0 -1  -1 
2 1 2 31 641.0 1538.0 -1  -1 
2 1 2 32 674.0 1605.0 -1  -1 
