#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi2maxZid ESi1minAid ESi1maxZid
2 2 2 20 300.0 864.0 -1  -1 
2 2 2 21 325.0 937.0 -1  -1 
2 2 2 22 350.0 996.0 -1  -1 
2 2 2 23 379.0 1077.0 -1  -1 
2 2 2 24 426.0 1133.0 -1  -1 
2 2 2 25 450.0 1195.0 -1  -1 
2 2 2 26 500.0 1268.0 -1  -1 
2 2 2 27 538.0 1332.0 -1  -1 
2 2 2 28 604.0 1430.0 -1  -1 
2 2 2 29 637.0 1476.0 -1  -1 
2 2 2 30 679.0 1532.0 -1  -1 
2 2 2 31 728.0 1605.0 -1  -1 
2 2 2 32 759.0 1659.0 -1  -1 
2 2 2 33 807.0 1638.0 -1  -1 
2 2 2 34 865.0 1081.0 -1  -1 
2 2 2 35 909.0 1008.0 -1  -1 
2 2 2 36 957.0 1994.0 -1  -1 
2 2 3 2 5.0 52.0 -1  -1 
2 2 3 3 12.0 57.0 23.0 57.0
2 2 3 4 19.0 91.0 19.0 82.0
2 2 3 5 29.0 117.0 47.0 117.0
2 2 3 6 36.0 152.0 61.0 152.0
2 2 3 7 46.0 194.0 80.0 194.0
2 2 3 8 57.0 233.0 104.0 233.0
2 2 3 9 69.0 278.0 142.0 276.0
2 2 3 10 81.0 325.0 181.0 325.0
2 2 3 11 90.0 372.0 221.0 372.0
2 2 3 12 108.0 421.0 263.0 421.0
2 2 3 13 123.0 472.0 308.0 465.0
2 2 3 14 141.0 522.0 352.0 522.0
2 2 3 15 154.0 580.0 412.0 580.0
2 2 3 16 178.0 633.0 462.0 633.0
2 2 3 17 191.0 697.0 531.0 697.0
2 2 3 18 216.0 744.0 601.0 744.0
2 2 3 19 249.0 817.0 -1  -1 
2 2 3 20 274.0 865.0 -1  -1 
2 2 3 21 316.0 935.0 -1  -1 
2 2 3 22 353.0 995.0 -1  -1 
2 2 3 23 394.0 1056.0 -1  -1 
2 2 3 24 425.0 1127.0 -1  -1 
2 2 3 25 470.0 1199.0 -1  -1 
2 2 3 26 501.0 1255.0 -1  -1 
2 2 3 27 531.0 1325.0 -1  -1 
2 2 3 28 551.0 1404.0 -1  -1 
2 2 3 29 597.0 1458.0 -1  -1 
2 2 3 30 634.0 1528.0 -1  -1 
2 2 3 31 672.0 1597.0 -1  -1 
2 2 3 32 713.0 1676.0 -1  -1 
2 2 3 33 745.0 1675.0 -1  -1 
2 2 3 34 786.0 1770.0 -1  -1 
2 2 3 35 843.0 1065.0 -1  -1 
2 2 3 36 911.0 1894.0 -1  -1 
